ID,Mid,Mid_OD_mm,Mid_Shape,Mid_Fs_Hz,Mid_Fs_Margin_at_150Hz,Mid_Xmax_mm,Mid_Sens_dB,Mid_Cone,Tweeter,Tweet_FP_OD_mm,Tweet_Shape,Tweet_Type,Tweet_Dome_mm,Tweet_Fs_Hz,Tweet_Min_Xover_Hz,Tweet_Sens_dB,Tweet_Pwr_W,Centre_Spacing_mm,Xover_Hz,Xover_Window_Hz,PSU,Price_GBP_est,Mid_Beaming_Limit_Hz,Xover_Below_Beaming,Visual_Class,DSP_Correction_dB,Off_Axis_Score,Notes
S1,DS115-8,115.6,Round,55.2,2.72,4.1,85.3,Dark paper,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,102,2500,Single point,24V,~£50,2636,Yes,All-Round,0.8,★★★★,"Reference pairing; warm paper cone; 4 left in stock"
S2,SB12PFCR25-4,122,Round,58,2.59,4.9,87.5,Nat. fibre,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,105,2700,Single point,24V,~£41,2730,Yes,All-Round,2.5,★★★,"Best value; nat. fibre warmth; 10+ stock"
S3,SB12MNRX2-25-4,122,Round,~58,~2.59,~4.5,~88,Nat. fibre,SB29SDAC,104,Round,Ring Dome,29,600,1200,~91,~30,107,1500,1200-2700,24V,~£92,2730,Yes,Ring Radiator,3.0,★★★★,"Ring dome; wide crossover window; engineering showcase"
A1,HiVi B4N,116.5,Round,56,2.68,3.2,85,Al/Mg copper-tone,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,102,2500,Single point,24V,~£38,2636,Yes,All-Round,0.0,★★★,"Perfect sensitivity match; always in stock; copper-tone cone"
A2,SB12MNRX2-25-4,122,Round,~58,~2.59,~4.5,~88,Nat. fibre,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,105,2700,Single point,24V,~£72,2730,Yes,All-Round,3.0,★★★,"Natural fibre; controlled transients (Qts 0.27)"
A3,DSA90-8,92,Round,66.6,2.25,2.5,84.7,Black anodised Al,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,90,2800,Single point,24V,~£49,3260,Yes,All-Round,0.3,★★★,"Tightest round spacing (90mm); narrowest baffle; black cone"
A4,DS115-8,115.6,Round,55.2,2.72,4.1,85.3,Dark paper,DX25TG59-04,104,Round,Dome-25mm,25,590,1180,93.4,15,110,2000,1800-2500,24V,~£60,2636,Yes,All-Round,0.8,★★★,"Most flexible crossover window with dome tweeter; paper warmth"
A5,SB12PFCR25-4,122,Round,58,2.59,4.9,87.5,Nat. fibre,DX25TG59-04,104,Round,Dome-25mm,25,590,1180,93.4,15,113,2200,1800-2700,24V,~£51,2730,Yes,All-Round,2.5,★★★,"A4 concept at lower cost; nat. fibre"
A6,Beyma 4FR40,~116,Round,~90,~1.7,~2,~91,Paper+Santoprene,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,103,2500,Single point,24V,~£45,~2600,Yes,All-Round,6.0,★★,"Full-range; confirm Fs before ordering; warm punchy character"
A7,SPM-116/8,~116,Round,75,2.0,~3,84,Paper,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,102,2500,Single point,24V,~£37,~2600,Yes,All-Round,1.0,★★,"Cheapest paper mid; Fs tightest of paper mids; raise xover to 165Hz"
A8,SIG120-4,123,Round,74.6,2.01,4.0,89.7,Black anodised,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,105,2500,Single point,24V,~£48,2570,Yes,All-Round,4.7,★★★,"4Ω mid; amp headroom excellent; OOS@SI - Audiophonics FR"
B1,TCP115-8,116,Round,59.2,2.53,4.0,81.9,Dark paper,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,102,2500,Single point,29V req,~£31+PSU,2570,Yes,All-Round,3.1,★★,"Warmest paper cone; cheapest drivers; PSU upgrade needed"
B2,ND91-4,~95,Round,~72,~2.1,4.6,~88,Paper,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,97,2700,Single point,29V req,~£48,~2700,Yes,All-Round,3.0,★★,"Compact 3.5in; high Xmax; 4Ω needs 29V; Fs unconfirmed"
B3,HiVi M5N,~126,Round,50,3.0,~3.5,~86,Paper,DX25TG59-04,104,Round,Dome-25mm,25,590,1180,93.4,15,103,1600,1200-2100,24V,~£54,2185,Yes,All-Round,1.0,★★,"5in; needs DX25 due to early beaming (2185Hz); Fs margin 3x"
B4,SB13PFCR25-8,~130,Round,44,3.33,4.5,~87,Nat. fibre,DX25TG59-04,104,Round,Dome-25mm,25,590,1180,93.4,15,110,1500,1200-2080,24V,~£53,2080,Yes,All-Round,2.0,★★,"Best Fs margin 3.33x; 5in; needs DX25"
B5,DA115-8,~116,Round,60,2.5,~3.5,~85,Al,SB19ST,88,Round,Dome-19mm,19,980,1960,88.5,30,102,2500,Single point,24V,~£44,~2600,Yes,All-Round,0.0,★★,"Near-perfect sensitivity match; only 3 left in stock"
B6,DSA90-8,92,Round,66.6,2.25,2.5,84.7,Black anodised Al,HiVi TN25,54x54,Square,Dome-25mm,25,1500,3000,91,20,73,3000,Single point,24V,~£52,3260,Yes,Square/Non-Round,0.3,★★,"Tightest spacing (73mm); square tweeter on round mid - strong contrast"
B7,SDS-P830656,152x134,Truncated,65,2.3,10.0,86.1,Coated paper,DX25TG59-04,104,Round,Dome-25mm,25,590,1180,93.4,15,~105,1700,1500-2000,24V,~£54,2080,Yes,Non-Round,1.1,★★,"Outstanding Xmax 10mm; truncated frame; requires large baffle"
B8,SIG150-4,152,Round,61.5,2.44,4.0,91.1,Al (confirm),DX25TG59-04,104,Round,Dome-25mm,25,590,1180,93.4,15,128,1800,1500-1990,24V,~£60,1990,Yes,All-Round,6.1,★,"5.25in; only tweeter option; very wide baffle required"
